id,lemma_ru,lemma_en,category,approved_form,declension_notes,italic_required,diacritics_policy,capitalization_notes,variants_found,preferred_source,source_examples,editor_decision,status,notes
term-00186,майявади,,philosophical_term,майявади,,conditional,no_diacritics_in_prose,,майявади [390] | Майявади [82],bvks_ru_chaitanya,vedabase_ru:bg/7/24/index.html:майявади | vedabase_ru:bg/7/advanced-view/index.html:майявади | vedabase_ru:bg/2/12/index.html:майявади | vedabase_ru:bg/2/13/index.html:майявади | vedabase_ru:bg/2/23/index.html:майявади,,needs_review,auto-generated draft
term-00187,Майяпур,,place_name,Майяпур,,no,no_diacritics_in_prose,,Майяпур [1],bvks_ru_chaitanya,"bvks_ru_chaitanya:Служение/Переводы Гурумахарадж/Шри Чаитанйа/Шри_Чайтанья_Махапрабху_Абхинава_дас_21_ноября_2025.docx:Майяпур — место явления Шри Чайтаньи Махапрабху, расположенное в Западной Бенгалии",,draft,auto-generated draft
term-00195,Матхура,,place_name,Матхура,,no,no_diacritics_in_prose,,Матхура [1],bvks_ru_chaitanya,"bvks_ru_chaitanya:Служение/Переводы Гурумахарадж/Шри Чаитанйа/Шри_Чайтанья_Махапрабху_Абхинава_дас_21_ноября_2025.docx:Матхура — святое место рождения Кришны, расположенное недалеко от Вриндавана, в настоящее время — город в штате Уттар-пр",,draft,auto-generated draft
term-00201,Навадвипа,,place_name,Навадвипа,,no,no_diacritics_in_prose,,Навадвипа [1],bvks_ru_chaitanya,"bvks_ru_chaitanya:Служение/Переводы Гурумахарадж/Шри Чаитанйа/Шри_Чайтанья_Махапрабху_Абхинава_дас_21_ноября_2025.docx:Навадвипа — (1) современный город Навадвипа; (2) святая земля вокруг Майяпура, которая служила местом для игр Шри Чайтан",,draft,auto-generated draft
term-00215,Пури,,place_name,Пури,,no,no_diacritics_in_prose,,Пури [1],bvks_ru_chaitanya,"bvks_ru_chaitanya:Служение/Переводы Гурумахарадж/Шри Чаитанйа/Шри_Чайтанья_Махапрабху_Абхинава_дас_21_ноября_2025.docx:Пури — (1) город, расположенный в штате Орисса; трансцендентная обитель Господа Джаганнатхи; (2) титул санньяси",,draft,auto-generated draft
term-00216,рага-бхакти,,philosophical_term,рага-бхакти,,yes,no_diacritics_in_prose,,рага-бхакти [8],bvks_ru_chaitanya,vedabase_ru:adi/4/15-16/index.html:рага-бхакти | vedabase_ru:adi/4/advanced-view/index.html:рага-бхакти | vedabase_ru:library/noi/8/index.html:рага-бхакти | bvks_ru_chaitanya:Служение/Переводы Гурумахарадж/Шри Чаитанйа/Шри_Чайтанья_Махапрабху_Абхинава_дас_21_ноября_2025.docx:рага-бхакти,,draft,auto-generated draft
term-00225,санньяси,,philosophical_term,санньяси,,conditional,no_diacritics_in_prose,,санньяси [524] | санньясу [206] | санньясы [64] | Санньяси [56] | санньяса [21] | санньясой [6] | санньясе [2] | Санньяса [1],bvks_ru_chaitanya,vedabase_ru:bg/6/2/index.html:санньяси | vedabase_ru:bg/6/1/index.html:санньяси | vedabase_ru:bg/6/advanced-view/index.html:санньяси | vedabase_ru:bg/2/15/index.html:санньяса | vedabase_ru:bg/2/15/index.html:санньясу,,needs_review,auto-generated draft
term-00236,санньяси-майявади,,philosophical_term,санньяси-майявади,,yes,no_diacritics_in_prose,,санньяси-майявади [117] | Санньяси-майявади [41],bvks_ru_chaitanya,vedabase_ru:bg/5/6/index.html:Санньяси-майявади | vedabase_ru:bg/5/6/index.html:санньяси-майявади | vedabase_ru:bg/5/2/index.html:санньяси-майявади | vedabase_ru:bg/5/advanced-view/index.html:санньяси-майявади | vedabase_ru:bg/5/advanced-view/index.html:Санньяси-майявади,,needs_review,auto-generated draft
term-00238,санодия-брахманам,,philosophical_term,санодия-брахманам,,yes,no_diacritics_in_prose,,санодия-брахманам [1],bvks_ru_chaitanya,bvks_ru_chaitanya:Служение/Переводы Гурумахарадж/Шри Чаитанйа/Шри_Чайтанья_Махапрабху_Абхинава_дас_21_ноября_2025.docx:санодия-брахманам,,draft,auto-generated draft
term-00279,Шакта,,philosophical_term,Шакта,,conditional,no_diacritics_in_prose,,шактами [5] | Шакта [1],bvks_ru_chaitanya,"vedabase_ru:adi/12/87/index.html:шактами | vedabase_ru:adi/12/advanced-view/index.html:шактами | vedabase_ru:adi/17/37-38/index.html:шактами | vedabase_ru:adi/17/advanced-view/index.html:шактами | bvks_ru_chaitanya:Служение/Переводы Гурумахарадж/Шри Чаитанйа/Шри_Чайтанья_Махапрабху_Абхинава_дас_21_ноября_2025.docx:Шакта — почитатель богини Дурги, олицетворенной материальной энергии",,needs_review,auto-generated draft
term-00283,шастр,,philosophical_term,шастр,,conditional,no_diacritics_in_prose,,шастр [225] | шастрах [103] | шастры [69] | шастрами [25] | шастрам [22] | Шастры [15] | шастре [5] | шастра [4] | шастру [2] | шастрой [2] | Шастра [2],bvks_ru_chaitanya,vedabase_ru:bg/7/15/index.html:шастр | vedabase_ru:bg/7/16/index.html:шастр | vedabase_ru:bg/7/3/index.html:шастр | vedabase_ru:bg/7/29/index.html:шастрах | vedabase_ru:bg/7/advanced-view/index.html:шастр,,needs_review,auto-generated draft
term-00285,шри,,honorific,шри,,conditional,no_diacritics_in_prose,,шри [4] | Шри [1],bvks_ru_chaitanya,"vedabase_ru:adi/5/84/index.html:шри | vedabase_ru:adi/5/27-28/index.html:шри | vedabase_ru:adi/5/advanced-view/index.html:шри | bvks_ru_chaitanya:Служение/Переводы Гурумахарадж/Шри Чаитанйа/Шри_Чайтанья_Махапрабху_Абхинава_дас_21_ноября_2025.docx:Шри (Шрила, Шрипада) — употребляется с именами собственными в знак уважения",,needs_review,auto-generated draft
term-00293,шри-кришна-санкиртане,,honorific,шри-кришна-санкиртане,,yes,no_diacritics_in_prose,,шри-кришна-санкиртане [1],bvks_ru_chaitanya,bvks_ru_chaitanya:Служение/Переводы Гурумахарадж/Шри Чаитанйа/Шри_Чайтанья_Махапрабху_Абхинава_дас_21_ноября_2025.docx:шри-кришна-санкиртане,,draft,auto-generated draft
term-00295,Шрила,,honorific,Шрила,,no,no_diacritics_in_prose,,Шрила [1],bvks_ru_chaitanya,"bvks_ru_chaitanya:Служение/Переводы Гурумахарадж/Шри Чаитанйа/Шри_Чайтанья_Махапрабху_Абхинава_дас_21_ноября_2025.docx:Шри (Шрила, Шрипада) — употребляется с именами собственными в знак уважения",,draft,auto-generated draft
term-00298,Шримати,,honorific,Шримати,,no,no_diacritics_in_prose,,Шримати [1],bvks_ru_chaitanya,"bvks_ru_chaitanya:Служение/Переводы Гурумахарадж/Шри Чаитанйа/Шри_Чайтанья_Махапрабху_Абхинава_дас_21_ноября_2025.docx:Шримати — соответствует «Шри», употребляется с женскими именами",,draft,auto-generated draft
term-00303,Шрипада,,honorific,Шрипада,,no,no_diacritics_in_prose,,Шрипада [1],bvks_ru_chaitanya,"bvks_ru_chaitanya:Служение/Переводы Гурумахарадж/Шри Чаитанйа/Шри_Чайтанья_Махапрабху_Абхинава_дас_21_ноября_2025.docx:Шри (Шрила, Шрипада) — употребляется с именами собственными в знак уважения",,draft,auto-generated draft
term-00308,Шукадева Госвами,,personal_name,Шукадева Госвами,,no,no_diacritics_in_prose,,Шукадева Госвами [1],bvks_ru_chaitanya,"bvks_ru_chaitanya:Служение/Переводы Гурумахарадж/Шри Чаитанйа/Шри_Чайтанья_Махапрабху_Абхинава_дас_21_ноября_2025.docx:Шукадева Госвами — великий мудрец, рассказчик «Шримад-Бхагаватам",,draft,auto-generated draft
term-00314,экадаши,,philosophical_term,экадаши,,conditional,no_diacritics_in_prose,,экадаши [38] | Экадаши [1],bvks_ru_chaitanya,vedabase_ru:bg/9/14/index.html:экадаши | vedabase_ru:bg/9/advanced-view/index.html:экадаши | vedabase_ru:bg/11/54/index.html:экадаши | vedabase_ru:bg/11/advanced-view/index.html:экадаши | vedabase_ru:adi/10/71/index.html:экадаши,,needs_review,auto-generated draft
term-00318,юга,,philosophical_term,юга,,conditional,no_diacritics_in_prose,,юга [3] | Юга [1],bvks_ru_chaitanya,"vedabase_ru:bg/8/17/index.html:юга | vedabase_ru:bg/8/advanced-view/index.html:юга | vedabase_ru:10/31/15/index.html:юга | bvks_ru_chaitanya:Служение/Переводы Гурумахарадж/Шри Чаитанйа/Шри_Чайтанья_Махапрабху_Абхинава_дас_21_ноября_2025.docx:Юга — один из четырёх циклически повторяющихся периодов, через которые проходит в своём развитии вселенная",,needs_review,auto-generated draft
term-00324,Ямуна,,place_name,Ямуна,,no,no_diacritics_in_prose,,Ямуна [1],bvks_ru_chaitanya,"bvks_ru_chaitanya:Служение/Переводы Гурумахарадж/Шри Чаитанйа/Шри_Чайтанья_Махапрабху_Абхинава_дас_21_ноября_2025.docx:Ямуна — священная река, истоки которой находятся в Гималаях. В Праяге сливается с Гангой",,draft,auto-generated draft
