term,correct_form,capitalization,italic,hyphenation,quotes,discouraged_forms,notes
бхаджан,,,yes,,,,Курсив.
бхадра,,,yes,,,,Курсив. Название месяца.
бхакти,,,yes,,,,Курсив. Это слово женского рода.
«Бхактиведанта бук траст»,,с прописной,,,yes,,"В кавычках, с прописной только первое слово. Среднего рода."
бхакти-веданты,,,yes,через дефис,,,Курсив и через дефис.
бхаттатхари,,,no,,,,Прямым шрифтом. Племя.
бхилы,,,no,,,,Прямым шрифтом. Племя.
бхратри-двития,,,yes,,,,Курсив.
бхуты,,,no,,,,Прямым шрифтом.
«Бэк ту Годхед»,,с прописной,,,yes,,"Название журнала, основанного Прабхупадой. В кавычках, первое и последнее слово – с прописной. Переводится как «Обратно к Богу»."
вайджаянти / Вайджаянти,,с прописной/строчной — см. notes,conditional,,,,"Обычно это слово курсивом со строчной. Если речь идет именно о гирлянде Кришны, тогда можно прямым с прописной."
вайдурья,,,yes,,,,Курсив.
вайдьи,,,yes,,,,Курсив. Ед. число – вайдья. Род. падеж множ. числа – вайдьев.
вайкунтха,,со строчной,yes,,,,Так называется духовная природа. В этом случае курсивом со строчной.
вайкунтха-джагат,,,yes,,,,Курсив.
вайрагья,,,yes,,,,Курсив.
вайшакха,,,yes,,,,Курсив. Название месяца.
вайшешика,,,yes,,,,Курсив.
вайшнав,,,no,,,,Прямым шрифтом.
вайшнава-апарадха,,,yes,,,,Курсив.
вайшнава-ачаман,,,yes,,,,Курсив.
вайшнава-дикша,,,yes,,,,Курсив.
вайшнава-дхарма,,,yes,,,,Курсив.
вайшнава-тантра,,,yes,,,,Курсив.
вайшнавизм,,,no,,,,Прямым шрифтом.
вайшья,,,yes,,,,Курсив.
вамша,,первое слово с прописной,conditional,,,,"Отдельное слово пишется курсивом. Словосочетания с этим словом лучше писать прямым и первое слово с прописной: Яду-вамша, Сурья-вамша и т. д."
вана-васи,,,yes,через дефис,,,"Курсив, через дефис."
ванапрастха,,,yes,,,,Курсив.
варна,,,yes,,,,Курсив.
варнашрама,,,yes,,,,Курсив.
варнашрама-дхарма,,,,,,,
васудева / Васудева / Всудева,,"с прописной когда Господь/Абсолют, иначе строчная",conditional,,,,"Если имеется в виду шуддха-саттва, то курсивом со строчной: «уровень васудевы». Если речь идет об отце Господа Кришны, то прямым с прописной. Если же речь идет о Самом Господе Кришне, то прямым с прописной и с диакритикой: Всудева. (Если не имеется в виду Господь, но в англ. тексте в этом имени присутствует диакритика, то она сохраняется и в русском тексте.)"
васуки,,,no,,,,Прямым шрифтом. Вид живых существ.
веги-нати,,,yes,,,,Курсив. Каста брахманов.
веда-вада-рата,,,,,,,
веда-вади,,,yes,через дефис,,,Курсив и через дефис.
веданта / «Веданта»,,с прописной/строчной — см. notes,conditional,,yes,,"Если речь идет о системе философии, то курсивом со строчной. А если имеется в виду «Веданта-сутра», то прямым с прописной и в кавычках."
веданта-ачарья,,,yes,,,,Курсив.
веданта-вади,,,yes,,,,Курсив.
ведантисты,,,no,,,,Прямой шрифт.
веда-стути,,,yes,,,,Курсив.
ведать,,,,,,,У п р а в л е н и е: что и чем. Ведать кого – некорректно.
века Кали,,,,,,,Неблагозвучно (сочетание одинаковых слогов). Можно сказать «эпохи Кали» или «Кали-юги».
Верховная Божественная Личность,,,,,,,Это словосочетание некорректно. Обычно исправляют на «Верховная Личность Бога» (см.).
"Верховная Истина, Верховная Абсолютная Истина",,,,,,,В таких случаях вместо «Верховная» лучше сказать «Высшая».
Верховная Личность Бога,,,,,,,"В некоторых случаях, чтобы избежать конструкции «Верховная Личность Бога сказал(а)» и т. п., возможна замена на «Верховный Господь», но тогда надо постараться компенсировать это, т. е. употребить сочетание «(Верховная) Личность Бога» в одном из соседних предложений. «Изначальный Личность Бога, Запредельный Господь» также некорректно."
Верховное Существо,,"с прописной когда Господь/Абсолют, иначе строчная",,,,,"С прописной, когда имеется в виду Господь. В других случаях – со строчной."
Верховный Абсолют,,"с прописной когда Господь/Абсолют, иначе строчная",,,,,"С прописной, когда имеется в виду Господь. В других случаях – со строчной."
Верховный Брахман,,"с прописной когда Господь/Абсолют, иначе строчная",,,,,"С прописной, когда имеется в виду Господь, и тогда склоняется как неодушевленное: «постичь Верховный Брахман»."
Верховный Господь,,,,,,,
Верховный Повелитель,,"с прописной когда Господь/Абсолют, иначе строчная",,,,,"С прописной, когда имеется в виду Господь. В других случаях – со строчной."
Верховный Творец,,"с прописной когда Господь/Абсолют, иначе строчная",,,,,"С прописной, когда имеется в виду Господь. В других случаях – со строчной."
Верховный Трансцендентный Господь,,,,,,,
веталы,,,no,,,,Вид живых существ. Прямой шрифт.
ветреный,,,,,,,"Слово ветреный всегда, во всех значениях пишется с одним н. Слово безветренный пишется с двумя н."
Ветхий Завет,,оба слова с прописной,,,,,В этом названии раздела Библии оба слова с прописной.
виварта-вада,,,yes,через дефис,,,"Курсив, через дефис."
виграха,,,yes,,,,Курсив.
виджая-мурти,,,yes,,,,Всё курсивом. Первое слово здесь не склоняется.
видьядхары,,,no,,,,Прямой шрифт. Именительный падеж единственного числа – видьядхар. Родительный падеж множественного числа – видьядхаров.
вина,,,yes,,,,Курсив. Музыкальный инструмент.
винаяки,,,no,,,,Вид живых существ. Прямой шрифт. Родительный падеж множественного числа – винаяк.
випра / Випра,,с прописной/строчной — см. notes,conditional,,,,"Если синоним слова брахман, то курсивом со строчной. Если часть имени, то прямым с прописной: Судама Випра."
вират-пуруша,,,yes,,,,Курсив.
вишайи,,,yes,,,«вишая»,Так называют материалистичных людей. Курсив. Не изменяется по числам и падежам. Не «вишая».
вишая,,,,,,,"Это слово относится к материальным объектам (наслаждения) и занятиям, а также к Самому Господу."
вишва-мурти,,,yes,через дефис,,,"Курсив, через дефис."
вишну-арадхана,,,yes,,,,Курсив.
вишну-бхакта,,,yes,,,,Курсив.
вишну-джаны,,,yes,через дефис,,,"Курсив, через дефис."
вишнудуты,,,yes,слитно,,,"Курсив, слитно."
вишну-дхарма,,,yes,,,,Курсив.
вишнуитский,,,no,,,,Прямой шрифт.
вишну-майя,,,yes,,,,Курсив.
вишну-мантра,,,yes,,,,Курсив.
вишну-мурти,,с прописной,yes,,,,Курсив. Местоимение к этому слову пишется с прописной.
вишну-сахасра-нама,,,yes,,,,Курсив.
вишну-таттва,,с прописной,yes,,,,"Курсив. Склоняется как неодушевленное. Местоимение, относящееся к этому слову, пишется с прописной."
вишну-тиртха,,,yes,,,,Курсив.
вишну-чакра,,,yes,,,,Курсив.
в обратном случае,,,,,,,Выражение некорректно. Правильно – в противном случае.
возвышаться,,,,,,,"Решено не употреблять это слово в русских текстах Би-би-ти, если оно относится к Кришне."
воздеть,,,,,,,"Согласно толковым словарям, это «поднять, устремить вверх руки (или взгляд) в знак просьбы, протеста, возмущения»."
Возрождение,,оба слова с прописной,,,,,"Когда имеется в виду период в культурном, идейном развитии стран Европы, наступивший после эпохи Средневековья, то это слово пишется с прописной – «Возрождение». В словосочетаниях «Высокое Возрождение» и «Раннее Возрождение», когда тоже имеется в виду период в развитии стран Европы, – оба слова с прописной. В словосочетании «эпоха Возрождения» с прописной только второе слово."
воинство,,,,,,,"Слово «воинство» – высокого стиля. Поэтому не следует употреблять его, когда речь идет о военных силах какого-л. демонического царя. В таком случае можно сказать «войско»."
восхищаться,,,,,,,У п р а в л е н и е: чем. Восхищаться чему – некорректно.
в придачу,,,,раздельно,,,Всегда пишется раздельно.
враджа-васи,,,yes,через дефис,,,"Курсив, через дефис."
враджа-деви,,,yes,через дефис,,,"Курсив, через дефис."
враджа-джана,,,yes,через дефис,,,"Курсив, через дефис."
враджа-лила,,,yes,,,,Курсив.
вриндавана-лила,,,yes,,,,Курсив.
вриндавана-вихара,,,yes,,,,Курсив.
вроде,,,,,,«кажется» | «вроде как бы»,"Предлог и частица. В качестве частицы, одно из значений которой – «будто, как будто» (при выражении предположительности, неуверенности), является разговорным: «Я тебе тогда не сказал… Как-то вроде стыдно было»; «Как там у нас с оружием? Вроде нехватка». Является разговорным в указанном значении и сочетание «вроде бы». Поэтому их использование наиболее оправдано в контекстах разговорного характера. Сочетание слов «вроде» и «вроде бы» со словом «кажется» – избыточно. Сочетания «вроде как» и «вроде как бы» – просторечные."
Всевышний,,всегда с прописной,,,,,Всегда с прописной.
Всевышний Господь,,,,,,,"Это словосочетание некорректно. Надо либо «Всевышний», либо «Верховный Господь»."
Вседержитель,,,,,,,
Всемогущий,,"с прописной когда Господь/Абсолют, иначе строчная",,,,,"Может быть с прописной, если имеется в виду Господь."
Вселенная,,с прописной/строчной — см. notes,,,,,"Как правило, слово «вселенная» мы пишем со строчной, потому что знаем, что вселенных очень много, и говорим только о нашей, в которой у Брахмы 4 головы. Но когда речь идет не только об этой вселенной, а обо всём (например, когда мы говорим о Боге как о Владыке Вселенной), то правильнее будет сказать «Вселенная», с прописной."
вселенский потоп,,,,,,,
всепроникающий,,,,,,,Это слово надо заменять. Можно сказать «вездесущий».
Вторая мировая война,,с прописной/строчной — см. notes,,,,,"В этом словосочетании первое слово пишется с прописной, остальные – со строчной."
Высшая Абсолютная Истина,,,,,,,
Высшая Душа,,"с прописной когда Господь/Абсолют, иначе строчная",,,,,"С прописной, если имеется в виду Параматма."
Высшая Изначальная Личность,,,,,,,
Высшая Истина,,"с прописной когда Господь/Абсолют, иначе строчная",,,,,"С прописной, если имеется в виду Господь."
Высшая Причина,,"с прописной когда Господь/Абсолют, иначе строчная",,,,,"Может быть с прописной, если имеется в виду Господь."
Высшая Реальность,,"с прописной когда Господь/Абсолют, иначе строчная",,,,,"Может быть с прописной, если имеется в виду Господь."
Высшая Трансцендентная Истина,,,,,,,
Высшее Существо,,"с прописной когда Господь/Абсолют, иначе строчная",,,,,"Может быть с прописной, если имеется в виду Господь."
