term,correct_form,capitalization,italic,hyphenation,quotes,discouraged_forms,notes
Первая мировая война,,с прописной/строчной — см. notes,,,,,"В этом словосочетании первое слово пишется с прописной, остальные – со строчной."
писания,,с прописной/строчной — см. notes,,,,,Всегда со строчной. «Писание» с прописной – это Библия.
питы,,,no,,,,Прямой шрифт.
пишачи,,,no,,,,Прямой шрифт. Именительный падеж единственного числа – пишача.
пленящий,,,,,,,Нет такого слова. Есть «пленяющий» и «пленительный».
плюс-минус,,,,через дефис,,,"Это выражение, означающее «с возможным расхождением в сторону увеличения или уменьшения», пишется через дефис: «плюс-минус десять человек»."
Повелитель,,"с прописной когда Господь/Абсолют, иначе строчная",,,,,"Когда имеется в виду Сам Господь, в некоторых случаях может быть с прописной."
покои,,,,,,«внутренние покои»,"Словосочетание «внутренние покои» – избыточно, т. к. покои всегда внутренние."
полная часть,,,,,,,"Вместо этого сочетания, которое звучит несколько противоречиво, мы используем сочетание «полная экспансия»."
Полное Целое,,"с прописной когда Господь/Абсолют, иначе строчная",,,,,"С прописной оба слова, когда имеется в виду Абсолют, Кришна."
половина,,,,,,,"Слово «половина» означает «одна вторая часть», «одна из двух равных частей». Мы говорим: «одна половина», «первая или вторая половина»,  «обе  половины».  Неверно:  «последняя  половина». Со словом «половина» нельзя употреблять определения «большая» или «меньшая». Можно сказать «большая (или меньшая) часть»."
поначалу,,,,,,,"Разговорное. На письме это слово лучше заменить на «сначала», «вначале» и т. п."
порешить,,,,,,,"В значении «решить» является просторечным. В остальных значениях некоторыми словарями определяется как разговорно-сниженное, некоторыми – как устарелое."
потенциально возможный,,,,,,,Это словосочетание (как и «потенциальная возможность») лексически избыточно.
потому как,,,,,,,"Союз потому как разные словари относят к разговорным и даже просторечным, поэтому в художественном тексте его лучше не использовать."
праджа,,,yes,,,,Курсив. Родительный падеж множественного числа – праджей.
праджапати,,,yes,,,,Курсив.
прайоджана,,,yes,,,,Курсив.
праматхи,,,no,,,,Вид живых существ. Прямой шрифт.
пранаяма,,,yes,,,,Курсив.
прасад,,,yes,,,«вайшнавская трапеза»,Курсив. В значении «вайшнавская трапеза» – просторечно.
прастхана-трая,,,,,,,
предлагать молитвы,,,,,,,Не очень хороший перевод. Лучше сказать «молиться» или «возносить молитвы».
предназначенный,,,,,,«Предназначенный кому-л.»,«Предназначенный кому-л.» – некорректно. Правильно будет «предназначенный для кого-л.».
предостерегать,,,,,,"«предостерегать о том, что…»","Конструкция «предостерегать о том, что…» – некорректна. Правильно – «предостеречь от чего(-то)», «предостеречь против чего(-то)»."
представлять,,,,,,«Представлять из себя»,"«Представлять из себя» – неправильный, разговорный вариант. Правильно – «представлять собой». В русских книгах Би-би-ти мы стараемся избегать конструкций типа «Бхагаван (Господь и т.п.) представляет собой…», когда речь идет о Господе, чтобы не было путаницы в написании местоимения «собой»."
преобразиться,,,,,,«преобразиться во что-л.»,"Конструкция «преобразиться во что-л.» – некорректна, глагол «преобразиться» не употребляется в таких случаях. Можно сказать «превратиться во что-л.»."
преты,,,no,,,,Вид живых существ. Пишется прямым.
прибежище,,,,,,,«Принять прибежище» – не очень благозвучно. Можно сказать «найти прибежище».
привлечься,,,,,,«Он привлекся ее красотой»,"Конструкции типа «Он привлекся ее красотой» – некорректны. Правильно – «Он был привлечен ее красотой», «Она привлекла его своей красотой» и т. п."
принять путь,,,,,,«Принять путь»,"«Принять путь» – некорректно. (На путь встают, а не принимают его.)"
принципы,,,,,,,"«Соблюдать принципы» (например, «соблюдать принципы брахманической культуры») – некорректно. Правильно – «следовать принципам…»."
принять,,,,,,,"Часто неопытные переводчики передают английское to accept или to take в самых разных сочетаниях одним и тем же словом «принять». Получаются весьма необычные для русского языка выражения, которые при редактировании нужно заменять: «принять жену» – «жениться»; «принять омовение», «сделать омовение» – «совершить омовение». Если же речь идет не о ритуале, а просто о купании, то – «искупаться», «омыться», «принять душ»; «принять посвящение» – «получить посвящение» (или как-то по-другому); «принять рождение» – «родиться» (или «появиться на свет»); «принять тело» – «получить тело» (или как-то по-другому)."
принять своим повелителем,,,,,,«Принять Кришну своим вечным повелителем»,«Принять Кришну своим вечным повелителем» – не очень удачно. Лучше – «принять Кришну как своего вечного повелителя».
прислужник,,,,,,,"Если это слово в тексте должно означать «помощник» (например, брахмачари названы «прислужниками санньяси»), тогда его желательно заменить (можно сказать «помощники»), потому что словари определяют слово «прислужник» либо как презрительное, либо как устарелое."
Провидение,,"с прописной когда Господь/Абсолют, иначе строчная",,,,,"С прописной, если имеется в виду Господь."
продвинутый преданный,,,,,,,"Лучше избегать этого сочетания, заменяя его на «преданный, достигший духовных высот», или «преданный, достигший высокого духовного уровня», или «тот, кто достиг высот в преданном служении (Господу)» и т.п."
промысел / промысл,,,,,,,"В значении «забота, попечительство Бога о судьбе человека; провидение» – «промысл»: «Божий промысл». В остальных значениях – «промысел»."
проповедовать,,,,,,«Проповедовать о (чем-то)»,У п р а в л е н и е: что. «Проповедовать о (чем-то)» – некорректно.
просить подаяние,,,,,,«Просить подаяние от двери к двери»,«Просить подаяние от двери к двери» – некорректное выражение. Можно сказать «просить подаяние у каждой двери».
псевдовайшнав,,,no,слитно,,,"Слитно, прямым."
псевдомахаджаны,,,no,слитно,,,"Слитно, прямой шрифт."
псевдопреданные,,,,слитно,,,Слитно.
пуджа,,,conditional,,,,"В сочетании с именем собственным – прямым шрифтом: Говардхана-пуджа, Дурга-пуджа. В остальных случаях – курсивом."
пуджари,,,yes,,,,Курсивом.
пуккаши,,,yes,,,,Курсив.
пулинды,,,yes,,,,Курсив. Именительный падеж единственного числа – пулинда.
пулкаши,пуккаши,,,,,,Исправлять на пуккаши.
пуранади,,,yes,,,,Курсив.
пуруша,,с прописной/строчной — см. notes,yes,,,,"С прописной это слово только в тех случаях, когда оно без курсива (например, в переводе стиха) и речь идет о Самом Господе, вишну-таттве. В комментариях оно, как правило, курсивом и со строчной, независимо от того, относится ли это слово к Господу или к обычному живому существу. Родительный падеж множественного числа – пуруш."
пуруша-аватары,,,yes,,,,Курсив.
пуруша-адхама,,,yes,,,,Курсив.
пускаться в крайности,,,,,,,"«Пускаться в крайности» – ошибка, смешение фразеологизмов."
путаны,,,no,,,,Вид живых существ. Прямой шрифт. Родительный падеж множественного числа: путан.
пхалгуна,,,yes,,,,Курсив.
рага-марга-бхакти,,,,,,,
раджа-пандит,,,yes,через дефис,,,"Курсив, дефис. Это придворный пандит."
раджасуя,,,yes,,,,Курсив. Жертвоприношение.
раджо-гуна,,,,,,,
раджпут,,,no,,,,Прямой шрифт.
радха-бхава,,,yes,,,,Курсив.
радха-кришна-бхаджана,,,yes,,,,Курсив.
радха-кришна-лила,,,yes,,,,Курсив.
Радхаштами,,с прописной,no,,,,С прописной прямым.
развитой преданный,,,,,,,Лучше избегать этого сочетания. Можно сказать «возвышенный преданный».
разговаривать,,,,,,,См. говорить.
ракша,,,no,,,,Прямым.
ракшасы,,,no,,,,Прямым шрифтом. Именительный падеж единственного числа – ракшас. Родительный падеж множественного числа – ракшасов.
ракшаса,,,yes,,,,Курсив. Вид брака.
ракшаси,,,no,,,,Прямой шрифт.
Рама-навами,,первое слово с прописной,no,,,,"Прямым, первое слово с прописной."
рама-раджья,,,yes,,,,Курсив.
расабхаса,,,yes,через дефис / слитно,,,"Курсив. Пишется это слово слитно, потому что оно короткое, а главное, состоит из «раса» и «бхса». Через дефис оно должно быть только в тех случаях, когда нужно показать, из каких частей оно состоит, например иногда в пословниках."
рати,,,yes,,,,Курсив. Это слово – женского рода.
ратха,,,yes,,,,"Курсив. Пример: «В зависимости от умения вести бой, воины подразделяются на маха-ратх, эка-ратх и ратх». Другое значение – колесница."
реализация,,,,,,,"Не следует использовать слово «реализация» (тем более во множественном числе) в значении «осознание», «постижение», «озарение» и т. п. Слово «самореализация» в изданиях Би-би-ти тоже не используется, во всяком случае в значении «самопознание»."
ревати,,,no,,,,Вид живых существ. Пишется прямым.
рикша / рикша,,,conditional,,,,"Если имеется в виду коляска или человек, везущий такую коляску, то прямым. В других случаях – курсив."
ровня,,,,,,,Просторечное.
рупануга,,,yes,,,,Курсив.
сабджи,,,yes,,,,Курсив.
садхана,,,yes,,,,Курсив.
садху,,,yes,,,,Курсив.
садхьи,,,no,,,,Прямым шрифтом. Родительный падеж множ. числа – садхьев.
сакхибхеки,,,yes,,,,Курсив. Название апасампрадаи. Не дефис?
самадхи,,,yes,,,,Курсив.
Самвартака,,с прописной,no,,,,Во всех случаях прямым с прописной. И в конструкциях типа «вспомнили пламя Самвартака» – не склонять.
самозваный,,,,,,,Всегда с одним «н».
самоотречение,,,,,,,"Если в тексте корректору встретится это слово, то желательно спросить у редактора, подходит ли оно по смыслу. Когда перечисляются достояния Кришны, иногда говорят «отрешенность от всего материального», «бесстрастие»."
самоотреченный,,,,,,«Самоотреченный»,"«Самоотреченный» – некорректно, такого слова не существует. Можно сказать «свободный от мирских привязанностей»."
сампрадая,,,conditional,,,,"Если какая-то определенная сампрадая, то прямым шрифтом. В других случаях – курсивом. Примеры:"
Брахма-мадхва-гаудия-сампрадая,,,yes,,,,Брахма-сампрадая Бхарати-сампрадая вайшнава-сампрадая (курсив) Валлабха-сампрадая Валлабхачарья-сампрадая Вишнусвами-сампрадая Гаудия-Мадхва-сампрадая Гаудия-сампрадая Гаудия-вайшнава-сампрадая Мадхва-сампрадая Мадхвачарья-сампрадая Мадхва-гаудия-сампрадая Нимбарка-сампрадая пракрита-сахаджия-сампрадая (курсив) Рамануджа-сампрадая Таттвавада-сампрадая Шанкара-сампрадая
самсара,,,yes,,,,Курсив.
сандеш,,,yes,,,,Курсив.
сандхья,,,yes,,,,Курсив. Родительный падеж множественного числа – сандхий.
сани,,,yes,,,,Курсив. Название апасампрадаи.
санкхья,,,yes,,,,Курсив.
санкшепа,,,yes,,,«самкшепа»,Курсив. Не «самкшепа».
санньяса,,,yes,,,,Курсив.
санньяси,,,yes,,,,Курсив.
санория,,,yes,,,«санодия»,"Курсив. Не «санодия». Примеры: санория-брахман, «община санория», «в доме санории (ювелира)», «из касты санория»."
санчари,,,,,,,Без мягкого знака.
саранатха-майявади,,,yes,,,,Курсивом оба слова.
сарасвата-брахманы,,,yes,,,,Курсив.
сарвагья,,с прописной/строчной — см. notes,yes,слитно,,,"Курсив, слитно. Со строчной, даже если в англ. тексте с прописной. Склоняется (например, сарвагье)."
сари,,,yes,,,,Курсив.
саттва-гуна,,,,,,,
сатьям парам,,,,,,,
Саубха,,с прописной,no,,,,Прямым с прописной. Пример: «владел воздушным кораблем Саубха».
саутрамани,,,yes,,,,Курсив.
сахаджии,,,yes,,,,Курсив.
сач-чид-ананда-виграха,,,,,,,
свабхава,,,yes,слитно,,,"Курсив, слитно."
сва-дхарма-тьяга,,,,,,,
свами,,,yes,,,,Курсив.
свастика,,,yes,,,,Курсив.
сваямвара,,,yes,,,,"Курсив. Пример: «на церемонию сваямвара», «на моей сваямваре»."
Сверхдуша,,с прописной,,,,,С прописной (о Параматме).
свой,,,,,,,"Это слово часто бывает лишним («повернуть свою голову», «поднять свою руку» и т. п.). Если контекст не требует указания на принадлежность, отношение к лицу, то употребление слова «свой» («своя» и т. д.) неоправданно. Не следует употреблять слово «свой» («своя» и т. д.) со сложными словами, первая часть которых – авто – соответствует по значению словам «свой», «собственный» («свой автопортрет», «свой автореферат», «своя автобиография», «свой автограф»). Такие сочетания тавтологичны."
свойственный,,,,,,,У п р а в л е н и е: кому-чему (не для кого-чего).
святое имя,,со строчной,,,,,Со строчной оба слова.
сгодиться,,,,,,,Просторечное.
сиддха / сиддхи / сиддхи,,,conditional,,,,"Если имеются в виду способности, то курсивом, и в родительном падеже множественного числа – сиддх. Если имеется в виду преданный, достигший совершенства, то курсивом: сиддха. Родительный падеж множественного числа – сиддх: «Таково положение нитья-сиддх, вечных спутников Господа». Если – жители райских планет, то прямым шрифтом, и в родительном падеже множественного числа – сиддхов."
сильные державы,,,,,no,,Без кавычек.
симхасана,,,conditional,,,«симха-асана»,"Не «симха-асана», и даже так не переносим. Отдельное слово пишется курсивом. В названиях типа «Маникья-симхасана» – прямым."
ситар,,,no,,,,Прямым шрифтом.
скорая помощь,,,,,no,,"Словосочетание «скорая помощь» во всех значениях, а также слово «скорая» в значении «то же, что скорая помощь» пишется без кавычек: «врачи скорой помощи», «приехала скорая»."
следовать,,,,,,«Следовать методу…»,«Следовать методу…» – некорректное выражение.
служение,,,,,,,"«Делать служение» – такое выражение не используется в русском языке. «Совершать служение», «выполнять служение» – тоже не очень удачные выражения. Можно сказать «служить», «нести служение», «быть занятым служением», в зависимости от контекста. Словосочетание «практическое преданное служение» лучше отметить для редактора."
смарта-брахманы,,,yes,,,,Всё курсивом.
смрити,,,yes,,,,Курсив. Это слово женского рода.
согласно,,,,,,«Согласно кому»,"«Согласно кому» – некорректно. Использование предлога «согласно» в сочетании с существительным, обозначающим лицо, – ошибка. То есть правильно – «согласно чему». Также некорректным является употребление предлога «согласно» с родительным падежом."
сожрать,,,,,,,Просторечное.
сознание Кришны,,со строчной,,,,,В этом словосочетании «сознание» – со строчной.
сома,,,yes,,,,"Курсив. Примеры: «сок сомы», «подносят сок растения сома», «выжимали сок из сомы»."
сома-яджи,,,yes,,,,Всё курсивом.
сперва,,,,,,,Это слово многие словари определяют как просторечное.
Средневековье,,с прописной/строчной — см. notes,,,,,"В значении «историческая эпоха» это слово пишется с прописной, в значении «устарелые обычаи, отсталый уровень» – со строчной."
Средние века,,с прописной,,,,,В этом словосочетании – названии исторической эпохи первое слово пишется с прописной.
ступа,,,conditional,,,,"Если имеется в виду культовое сооружение, то курсив. В других случаях прямой шрифт."
стхайи-бхава,,,yes,,,,Курсив.
суварна-ваники,,,yes,,,,"Курсив. Если в тексте сказано что-то вроде «Суварна-ваники – это ростовщики и торговцы золотом и серебром», то слово «ростовщики» менять на «банкиры»."
"Сударшана, Сударшана-чакра",,первое слово с прописной,no,,,,"Прямым шрифтом оба слова, первое слово с прописной. В этом словосочетании «Сударшана» должно склоняться. Словосочетание «Сударшана-чакра» лучше употреблять только в мужском роде. Если текст такой: «Господь призвал Свою Сударшану-чакру», то лучше убрать слово «Свою» или изменить предложение. Лучше вообще не использовать с этим словом притяжательные местоимения, особенно в винительном падеже, а сказать «Свой диск, Сударшану-чакру» или как-то еще. Примеры: «Излучение Сударшаны-чакры, оружия Господа Кришны, остановило огненного демона», «Преследуя огненного демона, Сударшана-чакра тоже явился в Варанаси», «вишну-чакра Сударшана опустошил весь город», «История о том, как Сударшана-чакра, боевой диск Кришны, разрушил город Варанаси, трансцендентна». Местоимения, относящиеся к этому слову, пишутся со строчной."
Судхарма,,с прописной,no,,,,Прямым с прописной. Дворец собраний Индры.
сурабхи,,,yes,,,,Курсив.
сутра,,,conditional,,,,"Курсив. Если какая-то определенная сутра, то прямым: «Веданта-сутра»."
суть,,,,,,«Он суть…»,«Суть» – это форма 3-го лица множественного числа глагола «быть». То есть «Он суть…» – некорректно. Употребление слова «есть» для 3-го лица множественного числа глагола «быть» – корректно: «Книги есть источник знаний».
считаный / считанный,,,,,,,"Слово «считаный» (прилагательное в значении «очень немногие») пишется теперь с одним «н»: считаные секунды. А причастие – как и раньше, с двумя «н»: уже не раз считанные деньги."
сыны,,,,,,,"Устарелое, высокого стиля и поэтическое."
сыпать,,,,,,,"Сыплю, сыплешь, сыплет, сыплем, сыплете, сыплют. Другие формы просторечны."
сыпаться,,,,,,,"Сыплется, сыплются. Другие формы просторечны."
Сьямантака,,с прописной,no,,,,"Прямым с прописной. Примеры: «подарил камень Сьямантака», «история драгоценного камня Сьямантака», «поклонялись Сьямантаке»."
тадия,,,yes,,,,Курсив. Склонение: дательный падеж – тадии.
таладжангха,,,yes,,,,Курсив. Название племени.
тамала,,,yes,,,«Дерево тамал»,Курсив. «Дерево тамал» – неправильно. Должно быть «…тамала».
тамил,,,,,,«тамил»,"Если имеется в виду язык, корректно – «тамильский язык», а не «тамил»."
тамо-гуна,,,,,,,
тантра,,,yes,,,,Курсив.
тапасья,,,yes,,,,Курсив.
тапо дивьям,,,yes,раздельно,,,"Курсив, раздельно."
тарака-брахма-нама,,,,,,,
телагу-нати,,,yes,,,,Курсив. Каста брахманов.
тилак,,,yes,,,,Курсив.
тимингила,,,yes,,,,Курсив.
тиртха,,со строчной,conditional,,,,В названиях мест «тиртха» – со строчной прямым: Акрура-тиртха. (В географ. названиях склоняется только вторая часть: «побывал в Чакра-тиртхе».) В остальных случаях – курсивом.
тирутии,,,no,,,,Прямым шрифтом.
Трансцендентная Истина,,,,,,,
Трансцендентное,,"с прописной когда Господь/Абсолют, иначе строчная",,,,,"С прописной, если это слово явно выступает в роли синонима слова «Бог» («Абсолют»). В других случаях «трансцендентное» даже в роли существительного пишется со строчной. То есть в тех случаях, когда речь идет не только о постижении Бога, но и о постижении своей духовной природы, своих отношений с Богом, обретении духовного знания, лучше «постижение трансцендентного» со строчной. Если с прописной, то круг значений сужается."
третий мир,,,,,no,,Кавычки не нужны: «Это актуально для стран третьего мира».
три-кала-гья,,,,,,,
три-линга,,,yes,через дефис,,,"Курсив, через дефис. Пример: «Господа Шиву называют три-линга, «сочетающий три материальные гуны»."
туласи,,,yes,,,,Курсив.
убийца,,,,,,,"В русских книгах Би-би-ти стараются избегать этого слова, если речь идет о Кришне или других положительных героях. Пример перевода словосочетания Krsna, the killer of demon(s): «Кришна, сразивший (тот, кто сразил) демона...» Или о Махарадже Юдхиштхире: killer of enemies – «царь, сокрушающий врагов». Где-то, наверное, можно употребить и такие слова, как «истребляющий», «уничтожающий» и т. п., и, конечно, мы говорим, что Кришна «убивает» демонов, но не называем Его «убийцей»."
удумбара,,,yes,,,,"Курсив. Примеры: «плод удумбара», «дерево удумбара»."
уик-энд,,,,через дефис,,,Через дефис.
умышленно,,,,,,,Обычно так говорится о чем-то предосудительном.
уникальный,,,,,,,"«Уникальный» значит «единственный в своем роде, неповторимый, исключительный». Уникальным называем такой предмет, который существует только в единственном числе, подобного ему в природе нет. Один предмет не может быть уникальнее другого, не может быть более или менее уникальным, не может быть уникальнейшим или самым уникальным. Слово «уникальный» легко заменяется его русским эквивалентом «единственный». Слово «уникальный» не должно употребляться в значении «редкий»."
унмада / унмады,,,conditional,,,,"Если имеется в виду признак духовных переживаний, то курсивом. Если – вид живых существ, то прямым шрифтом, и в родительном падеже множественного числа будет «унмад»."
упачар,,,yes,,,«упачара»,Не «упачара». Курсив. Слово мужского рода. Род. падеж множественного числа – упачаров.
уроженец,,,,,,«Уроженец государства»,"Женский род – «уроженка». Слово «уроженец» сочетается только со словами, обозначающими место: город, местность, страну и т. п., и не может сочетаться со словами, обозначающими время (т. е. корректно не «уроженец этого года» или «уроженец прошлого века», а «родившийся в этом году», «родившийся в прошлом веке», «человек прошлого века»). «Уроженец государства» – некорректно. Можно сказать «уроженец страны»."
услужение,,,,,,«вкусом услужения»,"Называть дасья-расу «вкусом услужения» – некорректно. Можно сказать «раса служения», «отношения слуги и господина» или как-то иначе."
утсава,,,,,,«в празднике Лакшми-виджайотсавы»,"Если в одном словосочетании оказываются слова «праздник» и утсава, то склонять слово утсава, означающее «праздник», не нужно (т. е. правильно будет «в празднике Лакшми-виджайотсава», а не «в празднике Лакшми-виджайотсавы»)."
философия,,,,,,,Это слово не может быть во множественном числе. В каких-то случаях можно сказать «учения».
хайхаи,,,yes,,,,Курсив. Родительный падеж множественного числа – хайхаев.
халава,,,yes,,,,Курсив.
Харе Кришна маха-мантра,,,,,,,"Обычно используется вариант «маха-мантра Харе Кришна». «Харе Кришна маха-мантра» употребляется в случаях, когда рядом стоит сочетание «Панча-таттва маха-мантра». Вообще в таких случаях лучше проконсультироваться с редактором."
хари-катха,,,yes,,,,Курсив.
Хеманта,,с прописной,no,,,,Прямым с прописной. Сезон на исходе осени.
Хера-панчами,,первое слово с прописной,no,,,,"Прямым, первое слово с прописной."
холодная война,,,,,no,,Без кавычек.
хуны,,,yes,,,,Племя. Курсив. Именительный падеж единственного числа – хуна. Родительный падеж множественного числа – хунов.
цельнокроеный,,,,,,,Всегда с одним «н».
цукини,,,,,,,"Согласно орфографическому словарю, это слово пишется с одним «к»."
чадар,,,yes,,,,Курсив.
чайтанья-лила,,,yes,,,,Всё курсивом.
чайтра,,,yes,,,,Курсив.
чакра,,,yes,,,,Курсив.
чамара,,,yes,,,,Курсив. Родительный падеж множественного числа – чамар.
чандал,,,yes,,,,Курсив. Родительный падеж множественного числа – чандалов.
чараны,,,no,,,,Прямой шрифт. Родительный падеж множественного числа – чаранов.
чатни,,,yes,,,,Курсив. В книгах Би-би-ти это слово среднего рода: «томатное чатни».
чатур-вьюха,,,yes,через дефис,,,"Курсив, через дефис."
чатурмасья,,,yes,слитно,,,"Курсив, слитно."
человеколев,,,,слитно,,,Слитно.
черный список,,,,,no,,Без кавычек.
четверичная экспансия,,,,,,«четверичная»,"В русских книгах Би-би-ти решено использовать термин «четверная экспансия», а не «четверичная» (или же можно, в зависимости от контекста, «четверка экспансий (форм, проявлений)» или как-то еще)."
четверная экспансия Кришны,,,,,,,
четырехглавый / четырехголовый,,,,,,,"В русских книгах Би-би-ти решено использовать вариант «четырехголовый», когда речь идет о Брахме."
чинтамани,,,yes,,,,Курсив.
чрево,,,,,,,"Сочетание с предлогами: «в чрево», «во чреве». Родительный падеж множественного числа – чрев."
чувства,,,,,,,"«Контролировать чувства» желательно заменять («управлять чувствами», «обуздывать чувства», «подчинять себе чувства» и т.д.). То же и с выражениями «наслаждать чувства» и «наслаждение чувств», желательно их избегать."
чудадхари,,,yes,,,,Курсив. Название апасампрадаи.
шабары,,,yes,,,,Курсив.
шабда-брахма,,,yes,,,,Курсив.
шайвы,,,no,,,,Прямой шрифт.
Шакабда,,,no,,,«по летоисчислению Шакабды»,"Прямой шрифт. Пример: «по летоисчислению Шакабда» (а не «по летоисчислению Шакабды»), «1540 год Шакабды». «Эра Шакабда» – немного тавтологичное выражение. Лучше сказать «эра Шака» либо «Шакабда»."
шаки,,,yes,,,,Племя. Курсив. Родительный падеж множественного числа – шаков.
шакты,,,yes,,,,Курсив.
шактьявеша,,,yes,,,,Курсив.
шалаграма-шила,,,yes,,,,Курсив. Здесь первое слово не склоняется.
шанкариты,,,no,,,,Прямым шрифтом.
шарат,,,yes,,,,Курсив.
шарат-пурнима,,,yes,,,,Всё курсивом. Это полнолуние месяца ашвина.
Шарнга,,с прописной,no,,,,"Прямым с прописной. Примеры: «Кришна тотчас взял в руки лук, который назывался Шарнгой»; «Кришна держал лук Шарнга»; «из Своего знаменитого лука Шарнга»."
шастра,,,yes,,,,Курсив.
шеша-лила,,,yes,,,,Курсив.
шеша-сандхья,,,yes,,,,Всё курсивом.
шиваиты,,,no,,,,Прямым шрифтом.
шива-линга,,,yes,,,,Курсив.
Шива-ратри,,первое слово с прописной,no,,,,"Название праздника. Прямым, первое слово с прописной."
шлока,,,yes,,,,Курсив.
шравана,,,yes,,,,Название месяца. Курсив.
шраддха,,,yes,,,,Курсив. Примеры: «провести восемь разных обрядов шраддха»; «во время церемонии шраддха».
Шри-вайшнавизм,,первое слово с прописной,no,,,,"Прямым, первое слово с прописной."
шри-вайшнавский,,со строчной,no,,,,"Прямым, первое слово со строчной."
Шри-вайшнавы,,первое слово с прописной,no,,,,"Прямым, первое слово с прописной."
Шриватса,,с прописной,no,,,,"Прямым с прописной. Примеры: «знак Шриватса»; «украшенного особым волоском, Шриватсой»."
шрути,,,yes,,,,Курсив.
штат,,,,,,,"Если в тексте говорится о событиях, происшедших давно, например во времена Господа Чайтаньи, то словосочетание типа «брахман из штата Махараштра» будет некорректным, т. к. в Индии в те времена не было штатов. В таких случаях можно сказать просто «брахман из Махараштры»."
шудра-махаджана,,,yes,,,,"Всё курсивом, первое слово не склоняется: «принимал приглашения от шудра-махаджан»."
шумбхи,,,yes,,,,Племя. Курсив. Именительный падеж единственного числа – шумбха.
экадаши,,первое слово с прописной,conditional,,,,"Это слово мужского рода. Отдельное слово пишется курсивом. Если какой-то определенный день (т. е. сначала имя собственное), то всё словосочетание – прямым шрифтом, первое слово с прописной, а слово «экадаши» – после дефиса со строчной: Уттхана-экадаши."
юга,,,conditional,,,,"Если какая-то определенная юга, то прямым: Кали-юга, Сатья-юга и т.д. В остальных случаях курсивом. Если текст типа «Трета- и Двапара-юги», то должен быть висячий дефис."
юлианский календарь,,оба слова со строчной,,,,,Оба слова со строчной.
«я»,,"с прописной когда Господь/Абсолют, иначе строчная",,,,,"Это слово пишется с прописной, только когда имеется в виду Сам Господь. Если текст, к примеру, такой: «Тот, кто не осознал свое истинное «я», вынужден заниматься кармической деятельностью ради удовлетворения потребностей своих чувств», то «я» должно быть со строчной."
явака,,,yes,,,,Курсив.
явана,,,yes,,,,Курсив. Родительный падеж множественного числа – яванов.
ягьешвара,,,yes,,,,Курсив.
ягья,,,conditional,,,,Именительный падеж множественного числа – ягьи. Склонение во множественном числе: «тысячами ашвамедха-ягий». В сочетании с именем собственным слово «ягья» – прямым шрифтом. В других случаях – курсивом. Примеры:
ашвамедха-ягья    (курсив),,,conditional,,,,Варуна-ягья (прямой) гомедха-ягья (курсив) гьяна-ягья (курсив) Дакша-ягья (прямой) дханур-ягья (курсив) Индра-ягья (прямой) раджасуя-ягья (курсив) Примеры употребления: «устроить жертвоприношение дханур-ягья»; «совершал раджасуя-ягью»; «совершил великое жертвоприношение раджасуя-ягья».
ягья-пуруша,,,yes,,,,Всё курсивом.
Ядав,,с прописной,no,,,«Ядава»,Прямым шрифтом с прописной. Не «Ядава». Можно сказать «потомок Яду».
якши,,,no,,,,Прямой шрифт. Именительный падеж единственного числа – якша. Родительный падеж множественного числа – якшей.
ямадуты,,,yes,,,,Курсив.
ямала-арджуна,,,yes,,,,Курсив.
ятра,,,no,,,,"Если имеется в виду какой-то определенный праздник, то слово «ятра» - прямым (например, Ратха-ятра)."
ятудхани,,,no,,,,Вид живых существ. Прямой шрифт. Пример: «от ятудхани».
