id,normalized_key,lemma_ru,lemma_en,category,approved_form,declension_notes,italic_required,diacritics_policy,capitalization_notes,variants_found,preferred_source,source_examples,editor_decision,status,notes,conflict_flag,conflict_variants,conflict_sources,review_priority,suggested_action,decision,approved_form_override,category_override,italic_required_override,diacritics_policy_override,merge_into,review_notes
term-08827,махапрабху,махапрабху,,personal_name,махапрабху,,yes,diacritics_in_quotes_only,,маха̄прабху [90] | махапрабху [2],vedabase_ru,vedabase_ru:index.html:маха̄прабху | vedabase_ru:index.html:махапрабху,,needs_review,auto-generated draft,yes,маха̄прабху [90] | махапрабху [2],vedabase_ru [92],high,review,,,,,,,
term-08828,маха̄прабхура,маха̄прабхура,,personal_name,маха̄прабхура,,yes,needs_review,,маха̄прабхура [50],vedabase_ru,vedabase_ru:index.html:маха̄прабхура,,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-08831,махараджа,махараджа,,personal_name,махараджа,,yes,no_diacritics_in_prose,,махараджа [4],bvks_ru,vedabase_ru:index.html:махараджа | bvks_ru:Shri_Bkhaktisiddkhanta_Vaybkhava_Tom1.docx:махараджа,,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-08832,махараджа прахлада,Махараджа Прахлада,,personal_name,Махараджа Прахлада,,no,no_diacritics_in_prose,,Махараджа Прахлада [1],vedabase_ru,"vedabase_ru:index.html:Махараджа Прахлада — яркий пример великой личности, всецело пребывающей в сознании Кришны. В «Чайтанья-чаритамрите» (Мад",,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-09777,нитьянанда прабху,Нитьянанда Прабху,,personal_name,Нитьянанда Прабху,,no,no_diacritics_in_prose,,Нитьянанда Прабху [2],vedabase_ru,"vedabase_ru:index.html:Нитьянанда Прабху — это Господь Баладева, пребывающий на Кришналоке. Значит, Нитьянанда Прабху является и изначальным Са",,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-09889,о чайтанья махапрабху,О Чайтанья Махапрабху,,personal_name,О Чайтанья Махапрабху,,no,no_diacritics_in_prose,,О Чайтанья Махапрабху [2],vedabase_ru,"vedabase_ru:index.html:О Чайтанья Махапрабху, — сказали они, — признаться, мы рады внимать Тебе. Кроме того, Ты столь прекрасен, что видеть Теб",,draft,auto-generated draft,no,,,high,drop,,,,,,,
term-10576,"поистине, чайтанья махапрабху","Поистине, Чайтанья Махапрабху",,personal_name,"Поистине, Чайтанья Махапрабху",,no,no_diacritics_in_prose,,"Поистине, Чайтанья Махапрабху [2]",vedabase_ru,"vedabase_ru:index.html:Поистине, Чайтанья Махапрабху — это Сам Господь Кришна. Не понимая этого, я, гордый своей ученостью, совершил тяжкий гре",,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-10620,прабху,прабху,,personal_name,прабху,,yes,no_diacritics_in_prose,,прабху [693] | Прабху [2],bvks_ru,vedabase_ru:index.html:прабху | vedabase_ru:index.html:Прабху | bvks_ru:Shri_Bkhaktisiddkhanta_Vaybkhava_Tom1.docx:прабху,,needs_review,auto-generated draft,yes,прабху [693] | Прабху [2],vedabase_ru [690] | bvks_ru [5],high,review,,,,,,,
term-10621,прабху —,прабху —,,personal_name,прабху —,,yes,no_diacritics_in_prose,,прабху — [1],vedabase_ru,vedabase_ru:index.html:прабху —,,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-10622,прабхуке,прабхуке,,personal_name,прабхуке,,yes,no_diacritics_in_prose,,прабхуке [42],vedabase_ru,vedabase_ru:index.html:прабхуке,,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-10623,прабхум,прабхум,,personal_name,прабхум,,yes,no_diacritics_in_prose,,прабхум [8],vedabase_ru,vedabase_ru:index.html:прабхум,,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-10624,прабхура,прабхура,,personal_name,прабхура,,yes,no_diacritics_in_prose,,прабхура [376],vedabase_ru,vedabase_ru:index.html:прабхура,,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-10625,прабхуре,прабхуре,,personal_name,прабхуре,,yes,no_diacritics_in_prose,,прабхуре [24],vedabase_ru,vedabase_ru:index.html:прабхуре,,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-10626,прабхуте,прабхуте,,personal_name,прабхуте,,yes,no_diacritics_in_prose,,прабхуте [4],vedabase_ru,vedabase_ru:index.html:прабхуте,,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-10627,прабхух̣,прабхух̣,,personal_name,прабхух̣,,yes,needs_review,,прабхух̣ [6],vedabase_ru,vedabase_ru:index.html:прабхух̣,,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-12107,самата̄,самата̄,,personal_name,самата̄,,yes,needs_review,,самата̄ [8] | Самата̄ [2],vedabase_ru,vedabase_ru:index.html:самата̄ | vedabase_ru:index.html:Самата̄,,needs_review,auto-generated draft,yes,самата̄ [8] | Самата̄ [2],vedabase_ru [10],high,review,,,,,,,
term-12187,сам̇йамата̄м,сам̇йамата̄м,,personal_name,сам̇йамата̄м,,yes,needs_review,,сам̇йамата̄м [2],vedabase_ru,vedabase_ru:index.html:сам̇йамата̄м,,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-12221,саммата,саммата,,personal_name,саммата,,yes,no_diacritics_in_prose,,саммата [2],vedabase_ru,vedabase_ru:index.html:саммата,,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-12222,самматах̣,самматах̣,,personal_name,самматах̣,,yes,needs_review,,самматах̣ [1],vedabase_ru,vedabase_ru:index.html:самматах̣,,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-12823,свами,свами,,personal_name,свами,,yes,diacritics_in_quotes_only,,свами [31] | сва̄мӣ [2],vedabase_ru,vedabase_ru:index.html:свами | vedabase_ru:index.html:сва̄мӣ,,needs_review,auto-generated draft,yes,свами [31] | сва̄мӣ [2],vedabase_ru [33],high,review,,,,,,,
term-12931,сеимата,сеимата,,personal_name,сеимата,,yes,no_diacritics_in_prose,,сеимата [2],vedabase_ru,vedabase_ru:index.html:сеимата,,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-13010,"следует знать, что ачарья","Следует знать, что ачарья",,personal_name,"Следует знать, что ачарья",,no,no_diacritics_in_prose,,"Следует знать, что ачарья [1]",vedabase_ru,"vedabase_ru:index.html:Следует знать, что ачарья — это Я Сам, и никогда не относиться к нему непочтительно. Нельзя завидовать ему, считая его о",,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-13318,суманда-матайах̣,суманда-матайах̣,,personal_name,суманда-матайах̣,,yes,needs_review,,суманда-матайах̣ [1],vedabase_ru,vedabase_ru:index.html:суманда-матайах̣,,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-13813,тридан̣д̣и-свами,тридан̣д̣и-свами,,personal_name,тридан̣д̣и-свами,,yes,needs_review,,тридан̣д̣и-свами [1],bvks_ru,bvks_ru:Shri_Bkhaktisiddkhanta_Vaybkhava_Tom1.docx:тридан̣д̣и-свами,,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-13883,тхакур,тхакур,,personal_name,тхакур,,yes,no_diacritics_in_prose,,тхакур [4],vedabase_ru,vedabase_ru:index.html:тхакур,,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-13884,т̣ха̄кура,т̣ха̄кура,,personal_name,т̣ха̄кура,,yes,needs_review,,т̣ха̄кура [35],vedabase_ru,vedabase_ru:index.html:т̣ха̄кура,,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-13885,т̣ха̄кура̄н̣ӣ,т̣ха̄кура̄н̣ӣ,,personal_name,т̣ха̄кура̄н̣ӣ,,yes,needs_review,,т̣ха̄кура̄н̣ӣ [14],vedabase_ru,vedabase_ru:index.html:т̣ха̄кура̄н̣ӣ,,draft,auto-generated draft,no,,,medium,keep,,,,,,,
