id,normalized_key,lemma_ru,lemma_en,category,approved_form,declension_notes,italic_required,diacritics_policy,capitalization_notes,variants_found,preferred_source,source_examples,editor_decision,status,notes,conflict_flag,conflict_variants,conflict_sources,review_priority,suggested_action,decision,approved_form_override,category_override,italic_required_override,diacritics_policy_override,merge_into,review_notes
term-09921,он отказался от этого,Он отказался от этого,,other,Он отказался от этого,,no,no_diacritics_in_prose,,Он отказался от этого [1],vedabase_ru,"vedabase_ru:index.html:Он отказался от этого"", — объяснил Сварупа Дамодара. — ""Он подумал: ""Я стою здесь как проститутка, ожидая, что кто-нибу",,draft,auto-generated draft,no,,,low,review,,,,,,,
term-09922,опираясь на центральный корень,Опираясь на центральный корень,,other,Опираясь на центральный корень,,no,no_diacritics_in_prose,,Опираясь на центральный корень [2],vedabase_ru,"vedabase_ru:index.html:Опираясь на центральный корень — благоразумного и непреклонного Парамананду Пури — и другие восемь корней, выросших в во",,draft,auto-generated draft,no,,,low,review,,,,,,,
term-09924,ория,Ория,,other,Ория,,no,no_diacritics_in_prose,,Ория [1],bvks_ru,bvks_ru:Shri_Bkhaktisiddkhanta_Vaybkhava_Tom1.docx:Бāт̣асāхи (Ория) – «тропинки и дорожки»; район,,draft,auto-generated draft,no,,,low,review,,,,,,,
term-09926,от двух братьев,От двух братьев,,other,От двух братьев,,no,no_diacritics_in_prose,,От двух братьев [2],vedabase_ru,vedabase_ru:index.html:От двух братьев — Шривасы Пандита и Шри Рамы Пандита — пошли две знаменитые ветви того дерева,,draft,auto-generated draft,no,,,low,review,,,,,,,
term-09928,ошибаешься,Ошибаешься,,other,Ошибаешься,,no,no_diacritics_in_prose,,Ошибаешься [1],bvks_ru,"bvks_ru:Шри_Чайтанья_Махапрабху_Абхинава_дас_21_ноября_2025.docx:Ошибаешься, — молвил Нимай, — Я — тот, кто поддерживает Гангу, которой ты поклоняешься",,draft,auto-generated draft,no,,,low,review,,,,,,,
term-10083,пандит,пандит,,other,пандит,,conditional,diacritics_in_quotes_only,,пандит [21] | пан̣д̣ит [5] | Пандит [1],bvks_ru,"vedabase_ru:index.html:пандит | bvks_ru:Шри_Чайтанья_Махапрабху_Абхинава_дас_21_ноября_2025.docx:Пандит — знаток санскрита, Вед и ведических дисциплин | bvks_ru:Шри_Чайтанья_Махапрабху_Абхинава_дас_21_ноября_2025.docx:пандит | bvks_ru:Shri_Bkhaktisiddkhanta_Vaybkhava_Tom1.docx:пан̣д̣ит",,needs_review,auto-generated draft,yes,пандит [21] | пан̣д̣ит [5] | Пандит [1],vedabase_ru [15] | bvks_ru [12],medium,review,,,,,,,
term-10126,пан̃чамӣ,Пан̃чамӣ,,other,Пан̃чамӣ,,no,needs_review,,Пан̃чамӣ [1],bvks_ru,"bvks_ru:Shri_Bkhaktisiddkhanta_Vaybkhava_Tom1.docx:Пан̃чамӣ – пятый день лунного цикла, священный для Сарасватӣ",,draft,auto-generated draft,no,,,medium,review,,,,,,,
term-10178,пара̄йан̣а,пара̄йан̣а,,other,пара̄йан̣а,,conditional,needs_review,,пара̄йан̣а [4] | Пара̄йана [2],bvks_ru,"vedabase_ru:index.html:пара̄йан̣а | bvks_ru:Shri_Bkhaktisiddkhanta_Vaybkhava_Tom1.docx:Пара̄йана – чтение священных писаний от начала и до конца, либо же в течение выделенного времени. Например, в Гауд̣ӣя Ма | bvks_ru:Shri_Bkhaktisiddkhanta_Vaybkhava_Tom1.docx:Пара̄йана",,needs_review,auto-generated draft,yes,пара̄йан̣а [4] | Пара̄йана [2],vedabase_ru [4] | bvks_ru [2],medium,review,,,,,,,
term-10475,пашанди,пашанди,,other,пашанди,,conditional,diacritics_in_quotes_only,,пашанди [39] | па̄шан̣д̣ӣ [27] | Пашанди [19] | па̄шан̣д̣и [2],vedabase_ru,"vedabase_ru:index.html:пашанди | vedabase_ru:index.html:па̄шан̣д̣ӣ | vedabase_ru:index.html:Пашанди — это тот, кто считает великих полубогов, таких как Господь Брахма и Господь Шива, равными Верховной Личности Бо | vedabase_ru:index.html:Пашанди | vedabase_ru:index.html:па̄шан̣д̣и",,needs_review,auto-generated draft,yes,пашанди [39] | па̄шан̣д̣ӣ [27] | Пашанди [19] | па̄шан̣д̣и [2],vedabase_ru [87],medium,review,,,,,,,
term-10504,первое,Первое,,other,Первое,,no,no_diacritics_in_prose,,Первое [1],vedabase_ru,"vedabase_ru:index.html:Первое — поносить великих преданных, проповедующих славу Господа",,draft,auto-generated draft,no,,,low,review,,,,,,,
